,title,company,location,job_desc,date_posted,date_scrapped,salary,job_url
167,Cost Engineer (Life Sciences/Pharma/Data Centres),Turner & Townsend,Manchester,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb19d464271717e9846f745c1184b748b
168,Project Controls Manager (Life Sciences/Pharma/Data Centres),Turner & Townsend,Newcastle,"Company Description   At Turner & Townsend we’re passionate about making the difference. That means delivering better outcomes for our clients, helping our people to realize their …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb235658e1f9123d6ef91526510cf25b43
169,Consumer and Retail Data Science Lead,causaLens,London,Summary   causaLens are the pioneers of Causal AI — a giant leap in machine intelligence.   We build Causal AI-powered products that are trusted by leading organizations across a w…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb7668aa90e15f3ce9ee43009090889166
170,Research Fellow in Data Science for Mobile Health with Wearable Devices,King's College London,London,"Job description * This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",1 day ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb389d5945ad9cc5754e86833e6c1cf301
171,Research Fellow in Data Science for Mobile Health with wearable devices,King's College London,"Strand, Central London","Job description   This post plays a key role in the development and delivery of a specific task in the prestigious EU IMI-funded large programme of autism research, AIMS-2-TRIALS. …",4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gba4ba26178e236e2326118f394699c7af
172,Senior Data Engineer | Spark | Scala | AWS | Remote,Method Resourcing,London,"Senior Data Engineer | Scala | Spark | AWS | Remote | £80,000 - £100,000   Are you on the search for a new opportunity in Data Engineering?   This is an exciting opportunity to joi…",2 days ago,2022-05-19,"£80,000-100,000 per year",https://www.careerjet.co.za/jobad/gb8d2fb92790f246b783c57b64aba30dbb
173,Consumer and Retail Data Science Lead,causaLens,London,Consumer and Retail Data Science Lead   Job description   Summary   causaLens are the pioneers of Causal AI - a giant leap in machine intelligence.   We build Causal AI-powered pro…,4 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb399d3cbfac04435f77815c7afac9e35f
174,"Senior Data Engineer - Europe, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gb62857f4f89a9379433b7af1d7de16fa4
175,"Senior Data Engineer - UK, Remote",Plentific,London,"Plentific is one of the fastest growing property technology companies in the world, backed by renowned investors including Brookfield, Highland Europe, A/O Proptech, Target Global …",3 days ago,2022-05-19,,https://www.careerjet.co.za/jobad/gbb184ee3d82f66d302ce4cc97937c35d7
176,Data Science (Business Analyst ) - Bristol,Rise Technical Recruitment,Bristol Area,"£35,000 - £55,000 + Technical Progression + Pension + Holidays + Private Health Insurance + Bonus  Bristol - Hybrid/ Remote   Exciting opportunity for an Data Analyst (Business Ana…",7 days ago,2022-05-19,"£35,000-55,000 per year",https://www.careerjet.co.za/jobad/gb300fa83a327e9953fa2f911a2cb70372
